epoch,ms,label,quality,raw_rms,filt_rms,hum_pct,D_abs,T_abs,A_abs,B_abs,G_abs,D_rel,T_rel,A_rel,B_rel,G_rel,A_B_ratio,T_A_ratio
4077,4076737,Neutral,good,1329.5,3.3,0.0,3305.918,3052.933,1906.749,3985.306,2182.283,0.2290,0.2115,0.1321,0.2761,0.1512,0.478,1.601
4078,4077737,Neutral,good,1329.7,3.1,0.0,9851.567,2248.958,1352.528,1592.693,2498.109,0.5615,0.1282,0.0771,0.0908,0.1424,0.849,1.663
4079,4078737,Neutral,good,1329.4,4.1,0.0,12119.748,1875.236,4987.026,10988.708,2113.741,0.3777,0.0584,0.1554,0.3425,0.0659,0.454,0.376
4080,4079737,Neutral,good,1328.5,3.0,0.0,5515.092,797.514,2591.697,4198.732,1074.976,0.3890,0.0563,0.1828,0.2961,0.0758,0.617,0.308
4081,4080737,Neutral,good,1329.2,3.0,0.0,3662.255,2136.700,2677.621,2673.653,696.158,0.3091,0.1804,0.2260,0.2257,0.0588,1.001,0.798
4082,4081736,Neutral,good,1329.7,3.3,0.0,1127.502,6082.317,5545.408,1941.398,1264.151,0.0706,0.3811,0.3474,0.1216,0.0792,2.856,1.097
4083,4082737,Neutral,good,1330.3,3.4,0.0,3481.202,6952.628,5263.562,2010.494,1913.624,0.1774,0.3543,0.2683,0.1025,0.0975,2.618,1.321
4084,4083736,Neutral,good,1331.4,3.6,0.0,6945.637,894.587,1365.207,10128.438,1761.851,0.3292,0.0424,0.0647,0.4801,0.0835,0.135,0.655
4085,4084736,Neutral,good,1330.4,2.6,0.0,2214.351,717.113,2031.569,7931.246,9708.046,0.0980,0.0317,0.0899,0.3509,0.4295,0.256,0.353
4086,4085736,Neutral,good,1329.5,3.2,0.0,7693.521,3609.959,2992.058,2121.496,972.839,0.4424,0.2076,0.1721,0.1220,0.0559,1.410,1.207
4087,4086736,Neutral,good,1329.9,3.7,0.0,1106.237,9492.001,13435.702,5573.334,4297.730,0.0326,0.2800,0.3963,0.1644,0.1268,2.411,0.706
4088,4087736,Neutral,good,1329.6,3.2,0.0,590.857,3231.715,2178.168,10405.453,5093.701,0.0275,0.1503,0.1013,0.4840,0.2369,0.209,1.484
4089,4088736,Neutral,good,1330.0,3.3,0.0,7793.359,1658.651,1199.565,1169.004,1518.284,0.5843,0.1243,0.0899,0.0876,0.1138,1.026,1.383
4090,4089736,Neutral,good,1329.1,3.1,0.0,4959.091,6123.149,6685.315,6124.353,1726.588,0.1936,0.2390,0.2610,0.2391,0.0674,1.092,0.916
4091,4090736,Neutral,good,1329.8,3.1,0.0,2902.190,1680.705,596.359,2945.355,2204.754,0.2810,0.1627,0.0577,0.2851,0.2134,0.202,2.818
4092,4091736,Neutral,good,1330.1,3.1,0.0,11495.784,6484.936,694.889,4889.871,1177.730,0.4646,0.2621,0.0281,0.1976,0.0476,0.142,9.332
4093,4092736,Neutral,good,1329.9,3.4,0.0,5462.893,10941.290,9037.237,3317.799,4696.523,0.1633,0.3270,0.2701,0.0992,0.1404,2.724,1.211
4094,4093736,Neutral,good,1330.6,4.1,0.0,8016.375,1373.443,1081.914,2853.332,1695.132,0.5337,0.0914,0.0720,0.1900,0.1129,0.379,1.269
4095,4094736,Neutral,good,1329.5,3.9,0.0,14644.952,2821.712,181.774,3789.314,965.889,0.6537,0.1259,0.0081,0.1691,0.0431,0.048,15.523
4096,4095736,Neutral,good,1330.1,4.0,0.0,1211.957,1854.052,586.865,4353.542,7217.460,0.0796,0.1218,0.0385,0.2860,0.4741,0.135,3.159
4097,4096736,Neutral,good,1331.0,3.3,0.0,1730.968,1921.278,1385.250,5118.644,467.964,0.1629,0.1808,0.1304,0.4818,0.0440,0.271,1.387
4098,4097736,Neutral,good,1330.1,3.5,0.0,644.082,3515.802,1894.696,1082.339,1330.355,0.0761,0.4152,0.2238,0.1278,0.1571,1.751,1.856
4099,4098735,Neutral,good,1330.4,3.4,0.0,3351.399,5670.346,5136.400,3811.952,1672.068,0.1706,0.2887,0.2615,0.1941,0.0851,1.347,1.104
4100,4099735,Neutral,good,1330.4,3.3,0.0,2429.270,3131.410,1261.176,1789.176,1672.036,0.2362,0.3045,0.1226,0.1740,0.1626,0.705,2.483
4101,4100735,Neutral,good,1330.6,2.9,0.0,2512.274,1826.969,1009.888,1625.446,571.194,0.3329,0.2421,0.1338,0.2154,0.0757,0.621,1.809
4102,4101735,Neutral,good,1330.1,3.8,0.0,806.639,4152.675,3343.385,13459.299,1792.343,0.0342,0.1763,0.1419,0.5714,0.0761,0.248,1.242
4103,4102735,Neutral,good,1329.0,3.1,0.0,4357.090,2910.942,1787.147,3387.927,2301.458,0.2955,0.1974,0.1212,0.2298,0.1561,0.528,1.629
4104,4103735,Neutral,good,1329.9,3.1,0.0,3615.940,6250.445,4166.341,2214.908,1489.775,0.2039,0.3524,0.2349,0.1249,0.0840,1.881,1.500
4105,4104735,Neutral,good,1328.4,3.3,0.0,1270.108,1215.732,999.422,2870.400,1367.955,0.1644,0.1574,0.1294,0.3716,0.1771,0.348,1.216
4106,4105735,Neutral,good,1330.7,4.2,0.0,17309.350,7002.799,7231.952,5137.779,4073.759,0.4247,0.1718,0.1774,0.1261,0.1000,1.408,0.968
4107,4106735,Neutral,good,1326.6,3.7,0.0,48225.168,2040.413,617.502,5399.196,1285.392,0.8377,0.0354,0.0107,0.0938,0.0223,0.114,3.304
4108,4107735,Neutral,good,1326.6,3.3,0.0,9622.227,4291.806,4251.951,3059.361,2914.265,0.3986,0.1778,0.1761,0.1267,0.1207,1.390,1.009
4109,4108735,Neutral,good,1329.3,3.9,0.0,16015.946,1750.481,796.364,4018.821,1483.539,0.6655,0.0727,0.0331,0.1670,0.0616,0.198,2.198
4110,4109735,Neutral,good,1330.0,3.9,0.0,7895.218,1828.673,3440.747,1896.844,1658.576,0.4722,0.1094,0.2058,0.1134,0.0992,1.814,0.531
4111,4110735,Neutral,good,1298.5,25.3,0.0,2612089.250,6839.576,14028.380,8327.997,2388.740,0.9881,0.0026,0.0053,0.0032,0.0009,1.684,0.488
4112,4111735,Neutral,good,1308.2,17.2,0.0,579401.625,7450.317,4711.796,10452.394,2155.190,0.9590,0.0123,0.0078,0.0173,0.0036,0.451,1.581
4113,4112734,Neutral,good,1331.4,21.3,0.0,670025.812,8322.651,2610.095,10305.227,11871.562,0.9529,0.0118,0.0037,0.0147,0.0169,0.253,3.189
4114,4113734,Neutral,good,1332.1,9.0,0.0,60701.000,5776.432,547.150,3147.457,1946.398,0.8417,0.0801,0.0076,0.0436,0.0270,0.174,10.557
4115,4114734,Neutral,good,1333.1,3.8,0.0,8027.719,3267.119,1915.782,7590.934,938.928,0.3693,0.1503,0.0881,0.3492,0.0432,0.252,1.705
4116,4115734,Neutral,good,1332.4,5.4,0.0,62729.641,822.756,1292.048,1306.145,1391.207,0.9288,0.0122,0.0191,0.0193,0.0206,0.989,0.637
4117,4116734,Neutral,good,1331.1,6.2,0.0,77875.297,4046.716,1411.252,5728.572,677.966,0.8678,0.0451,0.0157,0.0638,0.0076,0.246,2.867
4118,4117734,Neutral,good,1331.3,4.3,0.0,23984.406,893.122,619.432,6214.773,409.199,0.7467,0.0278,0.0193,0.1935,0.0127,0.100,1.442
4119,4118734,Neutral,good,1331.0,3.5,0.0,8282.051,6569.340,3827.366,6536.110,3736.193,0.2861,0.2269,0.1322,0.2258,0.1291,0.586,1.716
4120,4119734,Neutral,good,1330.8,2.8,0.0,11156.588,10270.196,1938.909,6874.261,1672.684,0.3496,0.3218,0.0608,0.2154,0.0524,0.282,5.297
4121,4120734,Neutral,good,1326.4,4.2,0.0,9539.591,10136.819,5900.236,4328.904,822.600,0.3105,0.3299,0.1920,0.1409,0.0268,1.363,1.718
4122,4121734,Neutral,good,1326.2,3.5,0.0,6298.608,5372.843,5699.603,1885.625,1210.131,0.3077,0.2625,0.2785,0.0921,0.0591,3.023,0.943
4123,4122734,Neutral,good,1326.8,3.4,0.0,12435.703,2019.902,759.867,1352.552,1091.030,0.7042,0.1144,0.0430,0.0766,0.0618,0.562,2.658
4124,4123734,Neutral,good,1327.7,3.7,0.0,4919.683,1009.196,2317.530,4935.757,2695.199,0.3099,0.0636,0.1460,0.3109,0.1698,0.470,0.435
4125,4124734,Neutral,good,1327.1,3.6,0.0,1004.411,2031.562,3991.338,1503.011,966.985,0.1058,0.2139,0.4203,0.1583,0.1018,2.656,0.509
4126,4125734,Neutral,good,1327.4,2.7,0.0,983.548,1381.632,980.954,3560.552,2130.263,0.1088,0.1529,0.1085,0.3940,0.2357,0.276,1.408
4127,4126734,Neutral,good,1327.8,3.1,0.0,833.771,1652.353,2240.292,3814.761,1695.521,0.0814,0.1614,0.2188,0.3727,0.1656,0.587,0.738
4128,4127733,Neutral,good,1328.3,2.5,0.0,971.941,4930.384,965.727,3984.670,2019.302,0.0755,0.3830,0.0750,0.3096,0.1569,0.242,5.105
4129,4128733,Neutral,good,1328.2,3.4,0.0,7299.968,5092.334,6425.704,6139.463,1727.273,0.2736,0.1908,0.2408,0.2301,0.0647,1.047,0.792
4130,4129733,Neutral,good,1328.8,2.7,0.0,956.758,471.541,2190.005,1716.923,485.565,0.1644,0.0810,0.3762,0.2950,0.0834,1.276,0.215
4131,4130733,Neutral,good,1328.5,3.5,0.0,10939.457,10143.923,8411.659,5719.655,1366.033,0.2990,0.2773,0.2299,0.1564,0.0373,1.471,1.206
4132,4131733,Neutral,good,1328.6,3.1,0.0,2428.954,4037.757,1460.110,2064.098,716.480,0.2268,0.3771,0.1364,0.1928,0.0669,0.707,2.765
4133,4132733,Neutral,good,1329.1,3.1,0.0,3026.278,1707.623,3213.430,10870.582,1227.171,0.1510,0.0852,0.1603,0.5423,0.0612,0.296,0.531
4134,4133733,Neutral,good,1329.7,3.4,0.0,6098.705,678.519,1087.210,4316.378,2461.816,0.4165,0.0463,0.0742,0.2948,0.1681,0.252,0.624
4135,4134733,Neutral,good,1328.7,3.2,0.0,4876.867,1703.961,1114.016,6218.965,2659.199,0.2943,0.1028,0.0672,0.3752,0.1605,0.179,1.530
4136,4135733,Neutral,good,1328.7,3.2,0.0,2804.400,2344.991,2322.663,3122.200,2524.222,0.2138,0.1788,0.1771,0.2380,0.1924,0.744,1.010
